Job Title,Company Name,Location,Skills,Link,Date
Data Science Software Engineer Intern,Seuqel Solutions -,"Cairo, Egypt ",InternshipStudent · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Algorithms · Information Technology (IT) · Python · Software · Software Development · Software Engineering · Programming,/internship/woPTqpa9WDRl-Data-Science-Software-Engineer-Intern-Seuqel-Solutions-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|hpb,11 days ago
Cloud DevOps Engineer,ServerHub -,"Cairo, Egypt ",Full TimeExperienced · 1 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · Ansible · Nginx · DevOps · Gitlab · Python · Linux · Information Technology (IT),/jobs/p/pCO2yefU8465-Cloud-DevOps-Engineer-ServerHub-Cairo-Egypt?o=27&l=sp&t=sj&a=python|search-v3|hpb,8 days ago
Senior Odoo Developer,Peerless -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · PostgreSQL · jQuery · JavaScript · XML · HTML · Odoo Development · odoo migration,/jobs/p/mPod5Xibz9s6-Senior-Odoo-Developer-Peerless-Giza-Egypt?o=28&l=sp&t=sj&a=python|search-v3|hpb,8 days ago
Senior Business Analyst,Guardian towing -,"Cairo, Egypt ",Full TimeManager · 3+ Yrs of Exp · Business Development · Project/Program Management · Analyst/Research · python · Power BI · Forcasting · Business Development · Financial Data Analysis · Process Improvement · Microsoft Excel,/jobs/p/kLaWrndnbCxM-Senior-Business-Analyst-Guardian-towing-Cairo-Egypt?o=29&l=sp&t=sj&a=python|search-v3|hpb,8 days ago
Odoo Developer,arabianopensource -,"Cairo, Egypt ",Full TimePart TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Odoo · SQL · XML · Programming · Front end · JavaScript · PostgreSQL,/jobs/p/MPoCwtjvdEzV-Odoo-Developer-arabianopensource-Cairo-Egypt?o=30&l=sp&t=sj&a=python|search-v3|hpb,9 days ago
Linux System Administrator,Softxpert Incorporation  -,"Alexandria, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Administration · Linux · Engineering · Security · System Administration · AWS · Computer Science,/jobs/p/h1bPuHHuNDFi-Linux-System-Administrator-Softxpert-Incorporation-Alexandria-Egypt?o=31&l=sp&t=sj&a=python|search-v3|hpb,11 days ago
Laravel and React Software Engineer,Libertas -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · JavaScript · Laravel · MySQL · PHP · React · Redis,/jobs/p/njWneEzED44m-Laravel-and-React-Software-Engineer-Libertas-Cairo-Egypt?o=32&l=sp&t=sj&a=python|search-v3|hpb,11 days ago
Odoo Developer,Rashid Al Jabri Group -,"Dubai, United Arab Emirates ",Full TimeExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Odoo Development · ODOO DEVELOPER · Information Technology (IT) · Odoo · Python · Programming · Computer Science · Software Development · JavaScript,/jobs/p/0D9waiTwckuS-Odoo-Developer-Rashid-Al-Jabri-Group-Dubai-United-Arab-Emirates?o=33&l=sp&t=sj&a=python|search-v3|hpb,12 days ago
Odoo Developer,Exceed -,"Cairo, Egypt ",Full TimePart TimeWork From HomeExperienced · 3 - 9 Yrs of Exp · IT/Software Development · Linux · Git · Odoo · Python · PostgreSQL,/jobs/p/dlNhC0JhaVjD-Odoo-Developer-Exceed-Cairo-Egypt?o=34&l=sp&t=sj&a=python|search-v3|hpb,13 days ago
Senior Software Engineer - VoIP,Bevatel -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · PHP · Linux · Asterisk · Docker · Git · Python · VOIP · SIP,/jobs/p/ykPxK7nDYEQH-Senior-Software-Engineer---VoIP-Bevatel-Giza-Egypt?o=35&l=sp&t=sj&a=python|search-v3|hpb,14 days ago
